continent,location,date,population,new_vaccinations,rolling_vaccinations
Asia,Afghanistan,31/10/2020,38928341,,0
Asia,Afghanistan,1/11/2020,38928341,,0
Asia,Afghanistan,2/11/2020,38928341,,0
Asia,Afghanistan,3/11/2020,38928341,,0
Asia,Afghanistan,4/11/2020,38928341,,0
Asia,Afghanistan,5/11/2020,38928341,,0
Asia,Afghanistan,6/11/2020,38928341,,0
Asia,Afghanistan,7/11/2020,38928341,,0
Asia,Afghanistan,8/11/2020,38928341,,0
Asia,Afghanistan,9/11/2020,38928341,,0
Asia,Afghanistan,10/11/2020,38928341,,0
Asia,Afghanistan,11/11/2020,38928341,,0
Asia,Afghanistan,12/11/2020,38928341,,0
Asia,Afghanistan,13/11/2020,38928341,,0
Asia,Afghanistan,14/11/2020,38928341,,0
Asia,Afghanistan,15/11/2020,38928341,,0
Asia,Afghanistan,16/11/2020,38928341,,0
Asia,Afghanistan,17/11/2020,38928341,,0
Asia,Afghanistan,18/11/2020,38928341,,0
Asia,Afghanistan,19/11/2020,38928341,,0
Asia,Afghanistan,20/11/2020,38928341,,0
Asia,Afghanistan,21/11/2020,38928341,,0
Asia,Afghanistan,22/11/2020,38928341,,0
Asia,Afghanistan,23/11/2020,38928341,,0
Asia,Afghanistan,24/11/2020,38928341,,0
Asia,Afghanistan,25/11/2020,38928341,,0
Asia,Afghanistan,26/11/2020,38928341,,0
Asia,Afghanistan,27/11/2020,38928341,,0
Asia,Afghanistan,28/11/2020,38928341,,0
Asia,Afghanistan,29/11/2020,38928341,,0
Asia,Afghanistan,30/11/2020,38928341,,0
Asia,Afghanistan,1/12/2020,38928341,,0
Asia,Afghanistan,2/12/2020,38928341,,0
Asia,Afghanistan,3/12/2020,38928341,,0
Asia,Afghanistan,4/12/2020,38928341,,0
Asia,Afghanistan,5/12/2020,38928341,,0
Asia,Afghanistan,6/12/2020,38928341,,0
Asia,Afghanistan,7/12/2020,38928341,,0
Asia,Afghanistan,8/12/2020,38928341,,0
Asia,Afghanistan,9/12/2020,38928341,,0
Asia,Afghanistan,10/12/2020,38928341,,0
Asia,Afghanistan,11/12/2020,38928341,,0
Asia,Afghanistan,12/12/2020,38928341,,0
Asia,Afghanistan,13/12/2020,38928341,,0
Asia,Afghanistan,14/12/2020,38928341,,0
Asia,Afghanistan,15/12/2020,38928341,,0
Asia,Afghanistan,16/12/2020,38928341,,0
Asia,Afghanistan,17/12/2020,38928341,,0
Asia,Afghanistan,18/12/2020,38928341,,0
Asia,Afghanistan,19/12/2020,38928341,,0
Asia,Afghanistan,20/12/2020,38928341,,0
Asia,Afghanistan,21/12/2020,38928341,,0
Asia,Afghanistan,22/12/2020,38928341,,0
Asia,Afghanistan,23/12/2020,38928341,,0
Asia,Afghanistan,24/12/2020,38928341,,0
Asia,Afghanistan,25/12/2020,38928341,,0
Asia,Afghanistan,26/12/2020,38928341,,0
Asia,Afghanistan,27/12/2020,38928341,,0
Asia,Afghanistan,28/12/2020,38928341,,0
Asia,Afghanistan,29/12/2020,38928341,,0
Asia,Afghanistan,30/12/2020,38928341,,0
Asia,Afghanistan,31/12/2020,38928341,,0
Asia,Afghanistan,1/1/2021,38928341,,0
Asia,Afghanistan,2/1/2021,38928341,,0
Asia,Afghanistan,3/1/2021,38928341,,0
Asia,Afghanistan,4/1/2021,38928341,,0
Asia,Afghanistan,5/1/2021,38928341,,0
Asia,Afghanistan,6/1/2021,38928341,,0
Asia,Afghanistan,7/1/2021,38928341,,0
Asia,Afghanistan,8/1/2021,38928341,,0
Asia,Afghanistan,9/1/2021,38928341,,0
Asia,Afghanistan,10/1/2021,38928341,,0
Asia,Afghanistan,11/1/2021,38928341,,0
Asia,Afghanistan,12/1/2021,38928341,,0
Asia,Afghanistan,13/1/2021,38928341,,0
Asia,Afghanistan,14/1/2021,38928341,,0
Asia,Afghanistan,15/1/2021,38928341,,0
Asia,Afghanistan,16/1/2021,38928341,,0
Asia,Afghanistan,17/1/2021,38928341,,0
Asia,Afghanistan,18/1/2021,38928341,,0
Asia,Afghanistan,19/1/2021,38928341,,0
Asia,Afghanistan,20/1/2021,38928341,,0
Asia,Afghanistan,21/1/2021,38928341,,0
Asia,Afghanistan,22/1/2021,38928341,,0
Asia,Afghanistan,23/1/2021,38928341,,0
Asia,Afghanistan,24/1/2021,38928341,,0
Asia,Afghanistan,25/1/2021,38928341,,0
Asia,Afghanistan,26/1/2021,38928341,,0
Asia,Afghanistan,27/1/2021,38928341,,0
Asia,Afghanistan,28/1/2021,38928341,,0
Asia,Afghanistan,29/1/2021,38928341,,0
Asia,Afghanistan,30/1/2021,38928341,,0
Asia,Afghanistan,31/1/2021,38928341,,0
Asia,Afghanistan,1/2/2021,38928341,,0
Asia,Afghanistan,2/2/2021,38928341,,0
Asia,Afghanistan,3/2/2021,38928341,,0
Asia,Afghanistan,4/2/2021,38928341,,0
Asia,Afghanistan,5/2/2021,38928341,,0
Asia,Afghanistan,6/2/2021,38928341,,0
Asia,Afghanistan,7/2/2021,38928341,,0
Asia,Afghanistan,8/2/2021,38928341,,0
Asia,Afghanistan,9/2/2021,38928341,,0
Asia,Afghanistan,10/2/2021,38928341,,0
Asia,Afghanistan,11/2/2021,38928341,,0
Asia,Afghanistan,12/2/2021,38928341,,0
Asia,Afghanistan,13/2/2021,38928341,,0
Asia,Afghanistan,14/2/2021,38928341,,0
Asia,Afghanistan,15/2/2021,38928341,,0
Asia,Afghanistan,16/2/2021,38928341,,0
Asia,Afghanistan,17/2/2021,38928341,,0
Asia,Afghanistan,18/2/2021,38928341,,0
Asia,Afghanistan,19/2/2021,38928341,,0
Asia,Afghanistan,20/2/2021,38928341,,0
Asia,Afghanistan,21/2/2021,38928341,,0
Asia,Afghanistan,22/2/2021,38928341,,0
Asia,Afghanistan,23/2/2021,38928341,,0
Asia,Afghanistan,24/2/2021,38928341,,0
Asia,Afghanistan,25/2/2021,38928341,,0
Asia,Afghanistan,26/2/2021,38928341,,0
Asia,Afghanistan,27/2/2021,38928341,,0
Asia,Afghanistan,28/2/2021,38928341,,0
Asia,Afghanistan,1/3/2021,38928341,,0
Asia,Afghanistan,2/3/2021,38928341,,0
Asia,Afghanistan,3/3/2021,38928341,,0
Asia,Afghanistan,4/3/2021,38928341,,0
Asia,Afghanistan,5/3/2021,38928341,,0
Asia,Afghanistan,6/3/2021,38928341,,0
Asia,Afghanistan,7/3/2021,38928341,,0
Asia,Afghanistan,8/3/2021,38928341,,0
Asia,Afghanistan,9/3/2021,38928341,,0
Asia,Afghanistan,10/3/2021,38928341,,0
Asia,Afghanistan,11/3/2021,38928341,,0
Asia,Afghanistan,12/3/2021,38928341,,0
Asia,Afghanistan,13/3/2021,38928341,,0
Asia,Afghanistan,14/3/2021,38928341,,0
Asia,Afghanistan,15/3/2021,38928341,,0
Asia,Afghanistan,16/3/2021,38928341,,0
Asia,Afghanistan,17/3/2021,38928341,,0
Asia,Afghanistan,18/3/2021,38928341,,0
Asia,Afghanistan,19/3/2021,38928341,,0
Asia,Afghanistan,20/3/2021,38928341,,0
Asia,Afghanistan,21/3/2021,38928341,,0
Asia,Afghanistan,22/3/2021,38928341,,0
Asia,Afghanistan,23/3/2021,38928341,,0
Asia,Afghanistan,24/3/2021,38928341,,0
